Version, ProportionValue
1,1
2,1
3,0.8888888888888888
4,0.8461538461538461
5,1.0303030303030303
6,1.0277777777777777
7,1.0638297872340425
8,1.3389830508474576
9,1.3174603174603174
10,1.3626373626373627
11,1.53125
12,1.5769230769230769
14,1.561904761904762
15,1.462809917355372
16,1.4596774193548387
17,1.4615384615384615
18,1.4313725490196079
19,1.423913043478261
20,1.4224598930481283
21,1.4066985645933014
22,1.40990990990991
23,1.40084388185654
24,1.3779527559055118
25,1.2775919732441472
26,1.3265895953757225
27,1.3408450704225352
28,1.3409090909090908
29,1.3242630385487528
30,1.3421052631578947
31,1.3494736842105264
32,1.3449691991786448
33,1.3634538152610443
34,1.3611111111111112
35,1.3514563106796116